ServiceId,DependsOnId,DependsOnType,DependencyStrength
VPN-ACME-CORP,MPLS-PATH-SYD-MEL-PRIMARY,MPLSPath,PRIMARY
VPN-ACME-CORP,MPLS-PATH-SYD-MEL-SECONDARY,MPLSPath,SECONDARY
VPN-ACME-CORP,MPLS-PATH-SYD-MEL-VIA-BNE,MPLSPath,TERTIARY
VPN-BIGBANK,MPLS-PATH-SYD-MEL-PRIMARY,MPLSPath,PRIMARY
VPN-BIGBANK,MPLS-PATH-SYD-MEL-SECONDARY,MPLSPath,SECONDARY
VPN-BIGBANK,MPLS-PATH-SYD-MEL-VIA-BNE,MPLSPath,TERTIARY
VPN-OZMINE,MPLS-PATH-SYD-BNE-PRIMARY,MPLSPath,PRIMARY
VPN-OZMINE,MPLS-PATH-SYD-MEL-VIA-BNE,MPLSPath,SECONDARY
BB-BUNDLE-SYD-NORTH,AGG-SYD-NORTH-01,AggSwitch,PRIMARY
BB-BUNDLE-MEL-EAST,AGG-MEL-EAST-01,AggSwitch,PRIMARY
BB-BUNDLE-BNE-CENTRAL,AGG-BNE-CENTRAL-01,AggSwitch,PRIMARY
MOB-5G-SYD-2041,GNB-SYD-2041,BaseStation,PRIMARY
MOB-5G-SYD-2042,GNB-SYD-2042,BaseStation,PRIMARY
MOB-5G-MEL-3011,GNB-MEL-3011,BaseStation,PRIMARY
MOB-5G-BNE-4011,GNB-BNE-4011,BaseStation,PRIMARY
