PathId,HopOrder,NodeId,NodeType
MPLS-PATH-SYD-MEL-PRIMARY,1,CORE-SYD-01,CoreRouter
MPLS-PATH-SYD-MEL-PRIMARY,2,LINK-SYD-MEL-FIBRE-01,TransportLink
MPLS-PATH-SYD-MEL-PRIMARY,3,CORE-MEL-01,CoreRouter
MPLS-PATH-SYD-MEL-SECONDARY,1,CORE-SYD-01,CoreRouter
MPLS-PATH-SYD-MEL-SECONDARY,2,LINK-SYD-MEL-FIBRE-02,TransportLink
MPLS-PATH-SYD-MEL-SECONDARY,3,CORE-MEL-01,CoreRouter
MPLS-PATH-SYD-BNE-PRIMARY,1,CORE-SYD-01,CoreRouter
MPLS-PATH-SYD-BNE-PRIMARY,2,LINK-SYD-BNE-FIBRE-01,TransportLink
MPLS-PATH-SYD-BNE-PRIMARY,3,CORE-BNE-01,CoreRouter
MPLS-PATH-MEL-BNE-PRIMARY,1,CORE-MEL-01,CoreRouter
MPLS-PATH-MEL-BNE-PRIMARY,2,LINK-MEL-BNE-FIBRE-01,TransportLink
MPLS-PATH-MEL-BNE-PRIMARY,3,CORE-BNE-01,CoreRouter
MPLS-PATH-SYD-MEL-VIA-BNE,1,CORE-SYD-01,CoreRouter
MPLS-PATH-SYD-MEL-VIA-BNE,2,LINK-SYD-BNE-FIBRE-01,TransportLink
MPLS-PATH-SYD-MEL-VIA-BNE,3,CORE-BNE-01,CoreRouter
MPLS-PATH-SYD-MEL-VIA-BNE,4,LINK-MEL-BNE-FIBRE-01,TransportLink
MPLS-PATH-SYD-MEL-VIA-BNE,5,CORE-MEL-01,CoreRouter
